,PAPER,TIME,trade_index,fiscal_index,monetary_index
412,vietnamnet.vn,03/11/2019,0,0,0
413,vietnamnet.vn,03/11/2021,57,12,90
414,vietnamnet.vn,03/11/2022,35,10,128
415,vietnamnet.vn,03/12/2010,0,24,60
416,vietnamnet.vn,03/12/2011,0,0,0
417,vietnamnet.vn,03/12/2012,6,30,60
418,vietnamnet.vn,03/12/2013,0,2,20
419,vietnamnet.vn,03/12/2014,32,0,0
420,vietnamnet.vn,03/12/2015,106,81,50
421,vietnamnet.vn,03/12/2016,6,0,0
422,vietnamnet.vn,03/12/2017,60,0,0
423,vietnamnet.vn,03/12/2018,14,2,0
424,vietnamnet.vn,03/12/2019,6,6,12
425,vietnamnet.vn,03/12/2020,190,32,24
426,vietnamnet.vn,03/12/2021,30,4,44
427,vietnamnet.vn,03/12/2022,0,0,16
428,vietnamnet.vn,04/01/2011,0,0,0
429,vietnamnet.vn,04/01/2012,1,0,0
430,vietnamnet.vn,04/01/2013,0,0,0
431,vietnamnet.vn,04/01/2014,0,0,0
432,vietnamnet.vn,04/01/2015,0,0,0
433,vietnamnet.vn,04/01/2016,20,0,2
434,vietnamnet.vn,04/01/2017,27,3,0
435,vietnamnet.vn,04/01/2018,37,21,44
436,vietnamnet.vn,04/01/2019,16,4,0
437,vietnamnet.vn,04/01/2020,2,3,24
438,vietnamnet.vn,04/01/2021,105,0,24
439,vietnamnet.vn,04/01/2022,16,36,66
440,vietnamnet.vn,04/01/2023,26,27,44
441,vietnamnet.vn,04/02/2011,0,0,0
442,vietnamnet.vn,04/02/2012,0,0,0
443,vietnamnet.vn,04/02/2013,0,0,36
444,vietnamnet.vn,04/02/2014,0,0,0
445,vietnamnet.vn,04/02/2015,18,16,0
446,vietnamnet.vn,04/02/2016,17,0,8
447,vietnamnet.vn,04/02/2017,27,0,50
448,vietnamnet.vn,04/02/2018,21,32,0
449,vietnamnet.vn,04/02/2019,0,0,0
450,vietnamnet.vn,04/02/2020,97,17,24
451,vietnamnet.vn,04/02/2021,25,28,48
452,vietnamnet.vn,04/02/2022,36,4,14
453,vietnamnet.vn,04/02/2023,17,42,72
454,vietnamnet.vn,04/03/2011,0,0,0
455,vietnamnet.vn,04/03/2012,0,0,0
456,vietnamnet.vn,04/03/2013,0,2,0
457,vietnamnet.vn,04/03/2014,22,33,54
458,vietnamnet.vn,04/03/2015,12,6,0
459,vietnamnet.vn,04/03/2016,0,0,0
460,vietnamnet.vn,04/03/2017,10,11,30
461,vietnamnet.vn,04/03/2018,34,10,4
462,vietnamnet.vn,04/03/2019,34,8,0
463,vietnamnet.vn,04/03/2020,47,14,138
464,vietnamnet.vn,04/03/2021,10,16,126
465,vietnamnet.vn,04/03/2022,39,2,24
466,vietnamnet.vn,04/04/2011,0,0,0
467,vietnamnet.vn,04/04/2012,0,0,0
468,vietnamnet.vn,04/04/2013,52,0,24
469,vietnamnet.vn,04/04/2014,22,4,0
470,vietnamnet.vn,04/04/2015,0,0,0
471,vietnamnet.vn,04/04/2016,12,22,0
472,vietnamnet.vn,04/04/2017,11,3,3
473,vietnamnet.vn,04/04/2018,146,78,84
474,vietnamnet.vn,04/04/2019,25,5,6
475,vietnamnet.vn,04/04/2021,0,4,2
476,vietnamnet.vn,04/04/2022,45,6,0
477,vietnamnet.vn,04/04/2023,37,20,159
478,vietnamnet.vn,04/05/2011,0,0,1
479,vietnamnet.vn,04/05/2012,0,0,0
480,vietnamnet.vn,04/05/2013,0,0,0
481,vietnamnet.vn,04/05/2014,20,0,3
482,vietnamnet.vn,04/05/2015,0,0,0
483,vietnamnet.vn,04/05/2016,0,0,0
484,vietnamnet.vn,04/05/2017,70,0,24
